,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,25.0,0.0,0.0,75.0,0.0,60.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,598.0
1,2,9.901315789473685,4.256578947368421,0.0,46.94078947368421,0.0,81.98684210526316,0.0,558.0592105263158,0.0,10.06578947368421,11.93421052631579,15.986842105263158,332.2894736842105,21.57894736842105,46.19078947368421,31.019736842105264,256.4671052631579
2,4,4.423076923076923,0.0,0.0,78.57692307692308,0.0,217.53846153846155,0.0,512.0192307692307,0.0,0.0,76.29807692307692,0.0,261.25961538461536,0.0,157.9903846153846,0.0,118.74038461538461
3,6,0.0,0.0,0.0,77.36619718309859,45.63380281690141,87.1830985915493,0.0,487.11267605633805,0.0,0.0,15.211267605633802,0.0,394.92957746478874,0.0,110.02816901408451,197.18309859154928,0.0
4,8,31.372549019607842,0.0,0.0,80.15686274509804,0.0,136.86274509803923,0.0,637.0588235294117,0.0,0.0,17.647058823529413,0.0,401.96078431372547,0.0,99.6470588235294,0.0,35.294117647058826
5,9,0.0,0.0,0.0,45.0,0.0,95.0,0.0,558.0,0.0,0.0,15.0,0.0,176.0,0.0,121.0,0.0,430.0
6,12,0.0,0.0,0.0,33.86363636363637,0.0,137.25,0.0,538.5227272727273,31.363636363636363,0.0,4.7727272727272725,0.0,342.8636363636364,0.0,113.52272727272727,0.0,237.8409090909091
7,13,0.0,0.0,0.0,40.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0
8,16,22.90909090909091,0.0,0.0,12.272727272727273,0.0,533.1818181818181,0.0,454.90909090909093,0.0,0.0,0.0,32.72727272727273,10.909090909090908,0.0,55.09090909090909,0.0,318.0
9,18,47.0,0.0,0.0,60.0,0.0,25.0,0.0,440.0,0.0,0.0,15.0,0.0,380.0,0.0,103.0,0.0,370.0
10,20,153.8793103448276,72.41379310344827,0.0,16.724137931034484,0.0,16.03448275862069,0.0,442.8448275862069,0.0,0.0,0.0,77.67241379310344,525.2586206896551,0.0,54.56896551724138,0.0,80.60344827586206
11,23,400.0,5.0,0.0,40.0,0.0,20.0,15.0,520.0,5.0,10.0,30.0,0.0,150.0,0.0,145.0,0.0,0.0
12,26,123.91304347826087,0.0,0.0,103.04347826086956,0.0,133.2608695652174,0.0,563.9130434782609,0.0,0.0,112.6086956521739,0.0,305.6521739130435,50.43478260869565,47.17391304347826,0.0,0.0
13,27,0.0,11.756756756756756,0.0,128.14864864864865,0.0,114.64864864864865,0.0,571.6891891891892,0.0,12.14864864864865,10.945945945945946,0.0,140.1891891891892,72.29729729729729,84.36486486486487,37.2972972972973,256.5135135135135
14,28,29.6,0.0,48.0,41.333333333333336,0.0,78.9,0.0,540.7333333333333,0.0,0.0,39.666666666666664,0.0,340.7,0.0,45.06666666666667,0.0,276.0
15,29,152.39622641509433,0.0,0.0,58.867924528301884,0.0,181.54716981132074,0.0,505.58490566037733,0.0,0.0,9.622641509433961,49.39622641509434,274.07547169811323,0.0,47.54716981132076,0.0,160.96226415094338
16,30,60.0,0.0,0.0,180.0,0.0,0.0,0.0,710.0,0.0,0.0,75.0,0.0,315.0,0.0,40.0,0.0,0.0
17,32,10.677966101694915,0.0,73.22033898305085,65.50847457627118,0.0,41.52542372881356,0.0,606.1016949152543,19.83050847457627,0.0,38.644067796610166,0.0,105.16949152542372,0.0,86.77966101694915,0.0,383.3898305084746
18,35,75.1344537815126,14.100840336134453,0.0,44.30672268907563,0.0,93.72689075630252,0.0,482.1218487394958,0.0,0.40336134453781514,15.600840336134453,0.0,257.0546218487395,0.0,129.2941176470588,0.0,318.42436974789916
19,37,23.19526627218935,3.775147928994083,0.0,49.06508875739645,0.0,102.9585798816568,0.0,560.2307692307693,12.781065088757396,12.57396449704142,12.384615384615385,21.36094674556213,214.6153846153846,0.0,68.66272189349112,0.0,352.50887573964496
20,38,120.11111111111111,0.0,0.0,73.11111111111111,0.0,30.333333333333332,0.0,594.0,0.0,0.0,51.77777777777778,0.0,230.44444444444446,0.0,128.11111111111111,0.0,212.11111111111111
21,40,69.22627737226277,14.83941605839416,0.0,34.14233576642336,0.0,61.47445255474452,2.0145985401459856,582.448905109489,7.478102189781022,4.434306569343065,22.346715328467152,0.0,172.27737226277372,18.047445255474454,91.58394160583941,14.233576642335766,338.95620437956205
22,41,2.0,0.0,0.0,85.0,0.0,420.0,0.0,555.0,0.0,0.0,80.0,0.0,243.0,0.0,55.0,0.0,0.0
23,42,64.61538461538461,0.0,0.0,135.0,0.0,282.6923076923077,0.0,551.5384615384615,0.0,0.0,69.23076923076923,0.0,312.38461538461536,0.0,24.53846153846154,0.0,0.0
24,44,113.0,0.0,0.0,60.0,0.0,60.0,0.0,423.0,0.0,0.0,0.0,0.0,255.0,0.0,40.0,0.0,489.0
25,46,5.510204081632653,1.1020408163265305,0.0,25.714285714285715,0.0,124.6938775510204,0.0,516.1224489795918,44.08163265306123,11.020408163265307,22.040816326530614,0.0,225.73469387755102,0.0,52.44897959183673,0.0,411.53061224489795
26,48,0.0,12.916666666666666,0.0,63.28333333333333,0.0,79.05,0.0,606.2666666666667,0.0,20.183333333333334,25.283333333333335,0.0,503.35,7.75,98.66666666666667,0.0,23.25
27,53,6.116504854368932,10.87378640776699,0.0,51.89320388349515,0.0,147.0,0.0,549.3300970873786,7.135922330097087,0.0,35.87378640776699,10.194174757281553,204.04854368932038,20.388349514563107,46.58252427184466,2.0388349514563107,289.9805825242718
28,54,5.0,0.0,0.0,40.0,0.0,250.0,0.0,590.0,0.0,0.0,0.0,0.0,35.0,0.0,45.0,0.0,475.0
29,55,21.3986013986014,29.265734265734267,0.0,92.48251748251748,0.0,60.76923076923077,0.0,551.7202797202797,1.2937062937062938,25.363636363636363,23.706293706293707,0.0,203.7062937062937,0.0,206.30769230769232,0.0,218.006993006993
30,56,0.0,0.0,0.0,52.05882352941177,0.0,0.8823529411764706,0.0,492.94117647058823,0.0,0.0,0.0,0.0,136.76470588235293,0.0,62.05882352941177,0.0,666.6176470588235
