,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,16.595744680851062,0.3617021276595745,0.0,52.765957446808514,0.0,159.89361702127658,0.0,653.6170212765958,0.0,0.0,10.851063829787234,0.0,184.5744680851064,32.5531914893617,50.276595744680854,0.0,278.51063829787233
1,4,0.0,0.0,172.74193548387098,67.70967741935483,0.0,57.935483870967744,0.0,457.4516129032258,0.0,0.0,9.516129032258064,0.0,356.3709677419355,0.0,100.41935483870968,0.0,217.8548387096774
2,6,31.07638888888889,9.26388888888889,33.767361111111114,78.6574074074074,0.0,100.58217592592592,0.0,608.0011574074074,4.293981481481482,0.0,34.230324074074076,23.88310185185185,222.72337962962962,23.30439814814815,80.65625,6.319444444444445,171.02430555555554
3,8,140.0,17.872340425531913,31.914893617021278,57.659574468085104,0.0,75.31914893617021,0.0,580.2127659574468,35.744680851063826,0.0,8.936170212765957,0.0,153.82978723404256,0.0,277.8723404255319,0.0,47.87234042553192
4,9,0.0,5.0,0.0,55.0,0.0,50.0,0.0,655.0,5.0,0.0,0.0,0.0,85.0,0.0,310.0,0.0,275.0
5,12,8.55483870967742,5.7612903225806456,7.741935483870968,78.49032258064516,0.0,192.74193548387098,0.0,586.4258064516129,10.696774193548388,3.096774193548387,24.806451612903224,27.870967741935484,235.7741935483871,1.096774193548387,116.84516129032258,0.0,140.09677419354838
6,13,7.846153846153846,1.9230769230769231,0.0,76.84615384615384,0.0,318.15384615384613,0.0,586.6923076923077,17.76923076923077,0.0,0.0,3.923076923076923,229.53846153846155,0.0,30.0,0.0,167.30769230769232
7,15,18.703703703703702,0.0,0.0,68.62962962962963,0.0,107.66203703703704,0.0,611.2870370370371,11.75462962962963,5.671296296296297,58.263888888888886,4.444444444444445,311.0416666666667,21.25,76.01388888888889,0.0,137.80092592592592
8,16,0.0,0.0,0.0,30.0,0.0,15.0,0.0,500.0,0.0,0.0,0.0,0.0,330.0,0.0,60.0,0.0,505.0
9,17,62.5609756097561,1.170731707317073,91.40243902439025,60.51829268292683,0.0,132.33536585365854,0.0,479.8170731707317,13.902439024390244,0.6097560975609756,27.073170731707318,0.0,228.29268292682926,10.24390243902439,117.5,0.0,197.5
10,18,12.089285714285714,0.0,0.0,41.964285714285715,0.0,120.0,0.0,614.1964285714286,0.0,30.357142857142858,23.571428571428573,0.0,304.51785714285717,0.0,79.19642857142857,0.0,214.10714285714286
11,19,0.0,0.0,0.0,41.03448275862069,0.0,113.79310344827586,0.0,725.8620689655172,0.0,0.0,0.0,0.0,222.41379310344828,49.6551724137931,14.655172413793103,0.0,272.58620689655174
12,20,39.83870967741935,0.0,421.6774193548387,70.0,0.0,90.96774193548387,0.0,544.1935483870968,131.51612903225808,0.0,0.0,0.0,139.3548387096774,0.0,2.4516129032258065,0.0,0.0
13,21,39.09836065573771,0.0,0.0,83.85245901639344,0.0,125.1639344262295,0.0,577.1311475409836,0.3442622950819672,0.0,34.09836065573771,44.75409836065574,149.5737704918033,0.0,70.98360655737704,0.0,315.0
14,24,169.2,0.0,0.0,64.3125,0.0,88.0875,0.0,503.825,0.0,0.0,66.65,0.0,92.475,9.625,41.075,0.0,404.75
15,25,104.16949152542372,0.0,70.83050847457628,86.49152542372882,0.0,124.69491525423729,0.0,664.3898305084746,0.0,0.0,0.0,0.0,156.52542372881356,0.0,21.71186440677966,0.0,211.1864406779661
16,26,73.04494382022472,0.0,124.8314606741573,52.02247191011236,0.0,131.67415730337078,0.0,575.6179775280899,7.752808988764045,0.0,5.46067415730337,0.0,332.08988764044943,78.20224719101124,59.30337078651685,0.0,0.0
17,27,0.0,0.0,329.16,62.36,0.0,52.6,0.0,730.8,0.0,0.0,0.0,0.0,161.56,19.2,39.52,0.0,0.0
18,28,2.3214285714285716,0.0,0.0,27.857142857142858,0.0,48.214285714285715,0.0,710.1785714285714,0.0,0.0,0.0,0.0,134.64285714285714,0.0,35.357142857142854,0.0,481.42857142857144
19,29,0.0,0.0,0.0,5.517241379310345,0.0,151.72413793103448,0.0,551.2068965517242,0.0,0.0,66.20689655172414,20.17241379310345,420.6896551724138,0.0,22.75862068965517,0.0,201.72413793103448
20,30,123.0,0.0,0.0,93.0,0.0,215.0,0.0,690.0,0.0,95.0,50.0,0.0,135.0,0.0,38.0,1.0,0.0
21,31,0.0,0.0,75.0,15.0,0.0,0.0,0.0,510.0,0.0,0.0,15.0,0.0,390.0,0.0,95.0,0.0,340.0
22,32,0.0,0.0,0.0,111.03658536585365,0.0,49.69512195121951,0.0,574.7682926829268,0.0,29.26829268292683,30.73170731707317,0.0,283.5243902439024,0.0,93.14634146341463,0.0,262.3414634146341
23,34,2.109375,0.0,381.1875,63.28125,0.0,158.203125,0.0,474.90625,20.625,0.0,24.375,0.0,229.921875,0.0,52.90625,0.0,32.484375
24,36,32.440366972477065,6.422018348623853,15.412844036697248,70.27217125382263,0.0,77.03363914373088,0.0,613.3302752293578,11.880733944954128,0.0,22.201834862385322,4.556574923547401,155.77981651376146,13.302752293577981,83.81957186544342,0.0,323.822629969419
25,37,0.0,0.6557377049180327,0.0,43.36065573770492,0.0,217.54098360655738,0.0,601.639344262295,0.0,0.0,0.0,0.0,255.98360655737704,0.0,63.9344262295082,107.54098360655738,142.78688524590163
26,38,0.0,0.0,316.0,75.0,0.0,150.0,0.0,670.0,0.0,0.0,0.0,0.0,178.0,0.0,51.0,0.0,0.0
27,39,7.6,0.0,85.2,71.17333333333333,0.0,66.66666666666667,0.0,676.2533333333333,6.4,0.0,58.0,11.2,235.70666666666668,0.0,27.093333333333334,0.37333333333333335,194.33333333333334
28,41,0.0,0.0,13.75,111.04166666666667,0.0,66.04166666666667,0.0,665.3125,0.0,0.0,50.0,41.666666666666664,163.125,0.0,76.35416666666667,8.333333333333334,244.375
29,42,0.0,0.0,0.0,33.214285714285715,0.0,80.35714285714286,0.0,576.0714285714286,0.0,0.0,8.035714285714286,133.92857142857142,255.17857142857142,0.0,116.42857142857143,0.0,236.78571428571428
30,47,0.0,0.0,0.0,210.0,0.0,480.0,0.0,540.0,0.0,0.0,30.0,0.0,60.0,90.0,30.0,0.0,0.0
31,48,74.08888888888889,0.0,0.0,49.44444444444444,0.0,96.24444444444444,0.0,543.3851851851852,0.0,22.11111111111111,34.148148148148145,22.22222222222222,367.23703703703706,0.0,35.18518518518518,0.0,193.7111111111111
32,49,157.76923076923077,0.0,0.0,47.88461538461539,0.0,84.5576923076923,0.0,722.6346153846154,0.0,0.0,39.23076923076923,124.8076923076923,241.8846153846154,0.0,21.23076923076923,0.0,0.0
33,51,21.120689655172413,0.0,0.0,63.1551724137931,0.0,82.06896551724138,0.0,587.6293103448276,20.17241379310345,0.0,48.44827586206897,7.241379310344827,257.6810344827586,4.913793103448276,51.88793103448276,0.0,290.37931034482756
34,53,39.12173913043478,0.0,0.0,41.6,0.0,70.04347826086956,0.0,591.4782608695652,3.260869565217391,0.0,3.652173913043478,6.0,138.34782608695653,28.0,104.37391304347825,0.0,399.6434782608696
35,55,24.864864864864863,0.0,43.513513513513516,80.87837837837837,0.0,128.17567567567568,0.0,532.8108108108108,10.675675675675675,0.0,10.135135135135135,0.0,235.43243243243242,0.0,58.24324324324324,0.0,315.27027027027026
