,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,2,77.1951219512195,0.0,0.0,107.8048780487805,0.0,152.1951219512195,0.0,476.9512195121951,0.0,0.0,0.0,0.0,75.73170731707317,0.0,62.926829268292686,0.0,487.1951219512195
1,4,0.0,0.0,0.0,80.0,0.0,125.0,0.0,405.0,0.0,0.0,0.0,0.0,310.0,30.0,45.0,0.0,445.0
2,6,0.0,0.0,57.391304347826086,30.652173913043477,0.0,0.4782608695652174,0.0,542.6086956521739,0.0,0.0,0.0,0.0,309.5652173913044,0.0,107.6086956521739,0.0,391.69565217391306
3,13,0.0,0.0,0.0,90.0,0.0,120.0,0.0,558.0,0.0,0.0,12.0,120.0,345.0,120.0,75.0,0.0,0.0
4,15,46.42857142857143,0.0,0.0,63.92857142857143,0.0,93.21428571428571,0.0,627.6428571428571,0.0,0.0,70.10714285714286,17.5,159.10714285714286,18.571428571428573,123.0,18.571428571428573,182.28571428571428
5,20,30.0,0.0,60.0,60.0,0.0,60.0,0.0,540.0,0.0,0.0,0.0,0.0,115.0,0.0,90.0,0.0,485.0
6,21,0.0,0.0,0.0,75.0,0.0,35.0,0.0,530.0,0.0,0.0,0.0,0.0,115.0,0.0,40.0,0.0,645.0
7,27,29.47826086956522,0.0,0.0,82.6086956521739,0.0,168.2608695652174,0.0,469.5652173913044,0.0,0.0,159.95652173913044,70.43478260869566,166.1304347826087,46.95652173913044,58.78260869565217,0.0,187.82608695652175
8,32,75.44117647058823,5.588235294117647,0.0,31.470588235294116,0.0,0.0,0.0,434.8529411764706,0.0,0.0,16.764705882352942,0.0,75.58823529411765,0.0,79.52941176470588,0.0,720.7647058823529
9,35,0.0,0.0,0.0,0.0,0.0,38.0,0.0,645.0,30.0,0.0,25.0,0.0,45.0,0.0,172.0,0.0,480.0
10,37,0.0,0.0,0.0,60.0,0.0,60.0,0.0,510.0,0.0,0.0,90.0,0.0,340.0,0.0,20.0,0.0,360.0
11,40,265.0,0.0,0.0,20.0,0.0,90.0,0.0,730.0,0.0,0.0,0.0,90.0,175.0,0.0,25.0,45.0,0.0
12,42,0.0,0.0,0.0,80.0,0.0,0.0,0.0,378.0,60.0,0.0,0.0,0.0,160.0,0.0,55.0,0.0,707.0
13,48,25.0,0.0,0.0,20.0,0.0,150.0,0.0,540.0,0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0.0
14,53,273.3333333333333,0.0,0.0,250.0,0.0,20.0,0.0,704.6666666666666,0.0,0.0,0.0,0.0,0.0,80.0,112.0,0.0,0.0
