,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,11.0,0.0,0.0,105.0,0.0,90.0,0.0,600.0,0.0,0.0,10.0,0.0,163.0,52.0,49.0,0.0,360.0
1,4,9.0,0.0,0.0,135.0,0.0,130.0,0.0,598.0,0.0,0.0,0.0,0.0,118.0,0.0,80.0,0.0,370.0
2,6,22.19178082191781,0.0,0.0,50.85616438356164,0.0,83.4931506849315,0.0,593.7328767123288,2.671232876712329,0.8904109589041096,41.986301369863014,29.10958904109589,243.21917808219177,0.0,71.54109589041096,0.0,300.3082191780822
3,12,0.0,0.0,0.0,15.0,0.0,30.0,0.0,584.0,0.0,0.0,10.0,0.0,645.0,0.0,21.0,0.0,135.0
4,15,159.0,0.0,0.0,15.0,0.0,140.0,0.0,430.0,0.0,0.0,0.0,0.0,190.0,0.0,86.0,0.0,420.0
5,16,65.0,0.0,0.0,30.0,0.0,735.0,0.0,510.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
6,17,0.0,90.0,0.0,61.0,0.0,180.0,0.0,410.0,0.0,0.0,90.0,0.0,439.0,0.0,150.0,0.0,0.0
7,18,20.0,20.0,70.0,42.0,0.0,170.0,0.0,630.0,0.0,0.0,0.0,228.0,140.0,0.0,65.0,0.0,0.0
8,22,0.0,0.0,0.0,90.0,0.0,0.0,0.0,660.0,0.0,0.0,60.0,0.0,580.0,0.0,50.0,0.0,0.0
9,25,0.0,180.0,0.0,20.0,0.0,120.0,0.0,570.0,0.0,0.0,60.0,0.0,420.0,0.0,70.0,0.0,0.0
10,32,40.0,0.0,0.0,70.0,0.0,90.0,0.0,670.0,90.0,0.0,30.0,0.0,150.0,0.0,60.0,0.0,240.0
11,34,15.0,0.0,0.0,0.0,0.0,39.0,0.0,593.0,0.0,0.0,0.0,0.0,198.0,75.0,40.0,0.0,480.0
12,42,0.0,0.0,0.0,55.0,0.0,79.0,0.0,645.0,0.0,0.0,0.0,0.0,150.0,0.0,30.0,0.0,481.0
13,47,0.0,0.0,0.0,45.0,0.0,180.0,0.0,660.0,0.0,0.0,0.0,0.0,15.0,0.0,50.0,250.0,240.0
14,48,0.0,0.0,0.0,120.0,0.0,210.0,0.0,660.0,0.0,0.0,120.0,0.0,300.0,0.0,30.0,0.0,0.0
15,49,0.0,320.0,0.0,130.0,0.0,0.0,0.0,690.0,0.0,0.0,45.0,0.0,220.0,0.0,35.0,0.0,0.0
16,51,0.0,0.0,0.0,35.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,185.0,0.0,40.0,135.0,560.0
17,53,91.40625,0.0,0.0,46.796875,0.0,37.5,0.0,669.109375,35.859375,0.0,0.0,33.75,269.96875,39.765625,42.875,0.0,172.96875
