,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,34.67948717948718,42.30769230769231,0.0,53.84615384615385,0.0,73.42307692307692,0.0,473.87179487179486,21.53846153846154,50.76923076923077,29.615384615384617,0.0,199.80769230769232,0.0,204.96153846153845,67.6923076923077,187.48717948717947
1,2,0.0,22.5,0.0,44.375,0.0,95.5,0.0,621.3125,0.0,0.0,9.875,198.375,391.5625,0.0,45.5625,8.75,2.1875
2,4,47.89473684210526,0.0,0.0,95.78947368421052,0.0,133.0701754385965,0.0,506.8421052631579,0.0,0.0,32.63157894736842,0.0,256.8421052631579,22.105263157894736,62.01754385964912,0.0,282.8070175438597
3,5,80.0,0.0,0.0,20.0,0.0,270.0,0.0,704.0,0.0,0.0,10.0,0.0,155.0,0.0,67.0,0.0,134.0
4,6,30.93548387096774,13.903225806451612,7.741935483870968,68.09354838709677,0.0,81.58387096774193,0.0,501.758064516129,10.774193548387096,0.532258064516129,70.91290322580645,18.0,281.9483870967742,0.0,112.93548387096774,28.048387096774192,210.70322580645163
5,8,82.5,0.0,0.0,30.0,0.0,82.5,0.0,450.0,22.5,0.0,30.0,0.0,375.5,87.5,12.0,0.0,267.5
6,9,20.0,0.0,0.0,42.28089887640449,0.0,155.8426966292135,0.0,452.24719101123594,0.0,0.9550561797752809,67.35955056179775,9.101123595505618,344.438202247191,0.0,113.67415730337079,0.0,234.1011235955056
7,10,15.0,0.0,360.0,70.0,0.0,115.0,0.0,517.0,0.0,0.0,10.0,0.0,88.0,0.0,75.0,0.0,190.0
8,12,42.64102564102564,10.871794871794872,150.47435897435898,93.67948717948718,0.0,37.62820512820513,0.0,617.9615384615385,4.615384615384615,22.21153846153846,5.282051282051282,12.307692307692308,209.17948717948718,0.0,95.2948717948718,3.8461538461538463,92.43589743589743
9,13,0.0,0.0,0.0,112.83720930232558,0.0,240.8139534883721,0.0,504.83720930232556,0.0,0.0,0.0,0.0,256.27906976744185,0.0,38.48837209302326,0.0,286.74418604651163
10,15,105.80321285140562,1.6104417670682731,0.0,61.325301204819276,0.0,102.95180722891567,0.0,499.4899598393574,0.27309236947791166,15.36144578313253,37.92369477911647,0.0,146.59036144578315,44.69879518072289,156.95983935742973,0.0,260.1004016064257
11,16,183.90243902439025,0.0,0.0,98.46341463414635,0.0,166.90243902439025,0.0,583.780487804878,0.0,0.0,42.4390243902439,0.0,120.36585365853658,0.0,244.14634146341464,0.0,0.0
12,17,0.0,0.0,125.33898305084746,83.13559322033899,0.0,183.72881355932202,0.0,583.2203389830509,8.64406779661017,0.0,0.0,0.0,265.4237288135593,0.0,31.864406779661017,0.0,150.0
13,18,238.0,0.0,0.0,75.0,0.0,270.0,0.0,590.0,0.0,0.0,45.0,0.0,180.0,0.0,42.0,0.0,0.0
14,19,0.0,0.0,0.0,25.0,0.0,60.0,0.0,645.0,0.0,0.0,185.0,0.0,490.0,0.0,32.0,0.0,0.0
15,20,45.0,12.413793103448276,0.0,59.48275862068966,0.0,215.0,0.0,727.2413793103449,0.0,0.0,41.810344827586206,42.5,166.0344827586207,47.58620689655172,48.01724137931034,0.0,12.413793103448276
16,21,28.75,0.0,65.0,40.833333333333336,0.0,374.5833333333333,0.0,592.7777777777778,38.333333333333336,0.0,0.0,0.0,240.13888888888889,0.0,16.25,0.0,43.333333333333336
17,22,0.0,0.0,0.0,105.0,0.0,65.0,0.0,565.0,25.0,10.0,0.0,0.0,70.0,0.0,110.0,0.0,490.0
18,24,297.3809523809524,0.0,0.0,26.19047619047619,0.0,0.0,0.0,685.7142857142857,0.0,0.0,0.0,31.428571428571427,203.0952380952381,0.0,19.047619047619047,0.0,177.14285714285714
19,25,53.275,0.0,0.0,77.1,0.0,173.775,0.0,772.6,0.0,0.0,18.0,0.0,242.75,0.0,67.5,0.0,35.0
20,26,9.366197183098592,0.0,0.0,51.76056338028169,0.0,82.04225352112677,0.0,552.2535211267606,0.0,0.0,3.0985915492957745,15.56338028169014,191.19718309859155,0.0,77.11267605633803,0.0,392.9577464788732
21,27,0.0,117.93103448275862,0.0,118.96551724137932,0.0,147.41379310344828,0.0,527.0689655172414,0.0,0.0,0.0,0.0,70.34482758620689,98.27586206896552,63.44827586206897,0.0,296.55172413793105
22,28,66.0,0.0,0.0,87.14285714285714,0.0,374.85714285714283,0.0,453.7142857142857,97.42857142857143,0.0,0.0,0.0,138.0,0.0,14.857142857142858,0.0,208.0
23,29,10.0,0.0,0.0,30.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,805.0,0.0,55.0,0.0,0.0
24,30,0.0,0.0,0.0,40.0,0.0,225.0,0.0,425.0,0.0,0.0,0.0,0.0,30.0,0.0,60.0,0.0,660.0
25,31,0.0,0.0,0.0,109.2051282051282,0.0,173.84615384615384,0.0,588.4615384615385,0.0,0.0,48.717948717948715,48.717948717948715,46.15384615384615,0.0,47.23076923076923,0.0,377.6666666666667
26,32,7.17948717948718,6.666666666666667,0.0,100.8974358974359,0.0,135.5982905982906,3.3333333333333335,520.4188034188035,8.076923076923077,11.282051282051283,43.58974358974359,40.0,96.32478632478633,46.22222222222222,87.72649572649573,6.666666666666667,326.017094017094
27,33,320.0,0.0,0.0,15.0,0.0,0.0,0.0,530.0,0.0,0.0,20.0,0.0,535.0,0.0,20.0,0.0,0.0
28,34,0.0,0.0,0.0,90.0,0.0,16.0,0.0,515.0,0.0,0.0,0.0,0.0,119.0,0.0,120.0,0.0,580.0
29,35,125.0,0.0,0.0,65.0,0.0,180.0,0.0,670.0,0.0,0.0,90.0,0.0,290.0,0.0,20.0,0.0,0.0
30,36,0.0,0.0,0.0,72.58064516129032,0.0,47.54838709677419,0.0,569.8709677419355,0.0,0.0,0.0,0.0,158.70967741935485,0.0,45.806451612903224,0.0,502.9032258064516
31,37,5.294117647058823,0.0,46.3235294117647,51.779411764705884,0.0,23.441176470588236,0.0,621.5735294117648,0.0,0.0,16.764705882352942,0.0,284.8529411764706,129.9264705882353,38.4264705882353,0.0,221.61764705882354
32,38,480.0,0.0,0.0,120.0,0.0,0.0,0.0,495.0,0.0,0.0,0.0,0.0,30.0,225.0,90.0,0.0,0.0
33,39,0.0,0.0,0.0,55.108695652173914,0.0,42.06521739130435,0.0,632.9347826086956,0.0,0.0,31.304347826086957,0.0,435.0,39.130434782608695,23.804347826086957,0.0,167.6086956521739
34,40,76.56410256410257,0.0,12.64102564102564,45.12820512820513,0.0,144.17948717948718,0.0,497.61538461538464,21.358974358974358,2.923076923076923,61.1025641025641,29.846153846153847,182.1948717948718,0.0,92.05641025641026,5.230769230769231,269.1589743589744
35,41,1.4285714285714286,26.18796992481203,0.0,47.857142857142854,0.0,140.88721804511277,0.0,576.6541353383459,25.263157894736842,0.0,26.57894736842105,0.0,298.6015037593985,0.0,73.94736842105263,0.0,190.58646616541353
36,42,32.21052631578947,25.657894736842106,0.0,60.0,0.0,85.46052631578948,0.0,632.6315789473684,0.0,5.526315789473684,16.57894736842105,0.0,306.05263157894734,0.0,84.63157894736842,0.0,191.25
37,45,8.214285714285714,0.0,0.0,20.357142857142858,0.0,62.976190476190474,0.0,570.0952380952381,0.0,0.0,88.52380952380952,90.0,420.8333333333333,54.285714285714285,116.5,0.0,0.0
38,46,13.5,0.0,0.0,65.25,0.0,69.4,0.0,517.5,0.0,0.0,2.75,0.0,74.25,0.0,58.95,0.0,638.4
39,47,144.59574468085106,0.0,0.0,43.297872340425535,0.0,60.851063829787236,0.0,394.63829787234044,0.0,0.0,16.595744680851062,0.0,214.04255319148936,0.0,31.27659574468085,0.0,496.27659574468083
40,48,0.0,0.0,0.0,76.22950819672131,0.0,138.68852459016392,0.0,531.311475409836,0.0,0.0,39.34426229508197,36.721311475409834,462.5409836065574,0.0,65.49180327868852,0.0,86.06557377049181
41,49,0.0,0.0,0.0,90.0,0.0,270.0,0.0,540.0,0.0,0.0,60.0,0.0,470.0,0.0,10.0,0.0,0.0
42,50,41.0,154.0,0.0,30.0,0.0,267.0,0.0,510.0,0.0,0.0,0.0,0.0,151.0,0.0,197.0,0.0,0.0
43,51,46.63551401869159,0.0,0.0,112.80373831775701,0.0,18.91588785046729,0.0,561.2803738317757,2.5233644859813085,11.214953271028037,22.80373831775701,0.0,254.7196261682243,6.728971962616822,99.99065420560747,0.0,302.38317757009344
44,53,14.937106918238994,3.7735849056603774,0.0,94.46540880503144,0.0,76.43396226415095,0.0,519.6603773584906,45.144654088050316,0.0,30.88050314465409,0.0,154.76729559748426,0.0,77.23270440251572,0.0,397.8050314465409
45,55,73.78378378378379,0.0,129.72972972972974,89.72972972972973,0.0,0.0,0.0,566.4864864864865,0.0,0.0,31.62162162162162,0.0,204.32432432432432,45.4054054054054,245.0,0.0,0.0
