,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,2,240.0,57.0,0.0,90.0,0.0,300.0,0.0,507.0,0.0,0.0,30.0,0.0,60.0,77.0,79.0,0.0,0.0
1,4,41.375,1.75,12.0,61.175,0.0,35.9375,0.0,580.8875,0.0,0.0,10.5,1.5625,71.25,39.5,48.125,42.0,493.9375
2,6,6.7164179104477615,0.0,0.0,97.73134328358209,0.0,82.68656716417911,0.0,520.223880597015,0.0,0.0,0.7761194029850746,0.0,296.2686567164179,0.0,112.31343283582089,0.0,323.2835820895522
3,13,0.0,0.0,0.0,60.0,0.0,510.0,0.0,570.0,0.0,0.0,0.0,0.0,210.0,90.0,0.0,0.0,0.0
4,18,135.0,0.0,0.0,90.0,0.0,185.0,0.0,420.0,0.0,0.0,150.0,0.0,371.0,0.0,59.0,0.0,30.0
5,22,0.0,0.0,0.0,30.0,0.0,293.0,0.0,540.0,0.0,0.0,0.0,185.0,373.0,0.0,19.0,0.0,0.0
6,25,0.0,0.0,0.0,55.0,5.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,465.0,0.0,49.0,0.0,580.0
7,26,0.0,0.0,0.0,90.0,0.0,0.0,0.0,455.0,0.0,0.0,5.0,0.0,415.0,0.0,45.0,0.0,430.0
8,36,0.0,0.0,0.0,100.0,0.0,15.0,0.0,540.0,0.0,0.0,20.0,0.0,225.0,0.0,85.0,0.0,455.0
9,37,40.0,0.0,0.0,30.0,0.0,55.0,0.0,535.0,0.0,0.0,55.0,0.0,60.0,35.0,115.0,0.0,515.0
10,39,0.0,0.0,0.0,40.0,0.0,2.0,0.0,829.0,20.0,0.0,10.0,0.0,316.0,0.0,142.0,0.0,0.0
11,40,15.306122448979592,0.0,0.0,77.44897959183673,0.0,29.387755102040817,0.0,531.6326530612245,0.0,0.0,7.346938775510204,0.0,275.83673469387753,0.0,113.87755102040816,0.0,389.16326530612247
12,49,0.0,0.0,0.0,73.0,0.0,699.0,0.0,360.0,15.0,0.0,28.0,0.0,0.0,0.0,65.0,200.0,0.0
13,53,0.0,0.0,0.0,20.0,0.0,25.0,0.0,705.0,0.0,0.0,0.0,0.0,435.0,0.0,60.0,0.0,195.0
14,55,1.08,0.0,0.0,126.0,9.2,61.7,0.0,437.02,0.0,0.0,48.6,0.0,209.74,27.0,97.36,0.0,422.3
15,56,0.0,0.0,0.0,46.8,0.0,199.8,0.0,615.6,0.0,0.0,14.4,0.0,132.6,0.0,58.56,0.0,356.64
