,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,0.0,0.0,0.0,20.0,0.0,0.0,0.0,531.0,0.0,60.0,109.0,0.0,0.0,0.0,285.0,0.0,435.0
1,2,0.0,65.18518518518519,0.0,36.666666666666664,0.0,80.0,0.0,568.3333333333334,0.0,0.0,8.88888888888889,0.0,219.07407407407408,0.0,87.03703703703704,0.0,374.81481481481484
2,6,0.0,0.0,75.0,30.0,0.0,0.0,0.0,720.0,0.0,0.0,15.0,0.0,150.0,0.0,60.0,0.0,390.0
3,12,7.222222222222222,16.59259259259259,0.0,84.70370370370371,0.0,82.81481481481481,0.0,449.48148148148147,31.11111111111111,0.0,36.81481481481482,0.0,116.66666666666667,33.7037037037037,32.03703703703704,0.0,548.8518518518518
4,13,0.0,0.0,0.0,60.0,0.0,0.0,0.0,545.0,0.0,0.0,15.0,175.0,20.0,0.0,145.0,0.0,480.0
5,17,5.0,0.0,0.0,95.0,0.0,265.0,0.0,585.0,0.0,0.0,90.0,0.0,315.0,0.0,85.0,0.0,0.0
6,22,0.0,0.0,0.0,45.0,0.0,0.0,0.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,720.0
7,25,0.0,87.0,0.0,30.0,0.0,295.0,0.0,480.0,54.0,0.0,132.0,0.0,295.0,0.0,67.0,0.0,0.0
8,26,128.0,0.0,0.0,50.0,0.0,0.0,0.0,630.0,0.0,0.0,5.0,0.0,75.0,0.0,152.0,0.0,400.0
9,27,35.0,135.0,0.0,40.0,0.0,195.0,0.0,695.0,0.0,0.0,25.0,0.0,260.0,0.0,55.0,0.0,0.0
10,28,0.0,0.0,0.0,100.0,0.0,500.0,0.0,680.0,0.0,0.0,0.0,0.0,120.0,0.0,40.0,0.0,0.0
11,35,0.4931506849315068,0.0,0.0,47.26027397260274,0.0,55.54794520547945,0.0,500.75342465753425,0.0,0.0,42.42465753424658,0.0,416.47945205479454,0.0,60.73972602739726,0.0,316.3013698630137
12,36,22.349397590361445,0.0,0.0,92.16867469879519,0.0,71.8433734939759,0.0,575.0843373493976,0.0,0.0,52.7710843373494,0.0,152.46987951807228,7.228915662650603,184.81927710843374,0.0,260.9879518072289
13,37,0.0,9.1875,46.1953125,55.875,0.0,109.453125,0.0,561.6796875,1.96875,0.0,24.90625,0.0,216.703125,0.0,109.453125,0.0,304.578125
14,38,0.0,0.0,0.0,165.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0,0.0,470.0,170.0,55.0,0.0,0.0
15,39,0.0,0.0,0.0,30.0,0.0,5.0,0.0,410.0,0.0,0.0,6.0,0.0,334.0,0.0,55.0,0.0,600.0
16,40,86.67682926829268,9.390243902439025,0.0,56.042682926829265,0.0,108.01829268292683,0.0,573.2926829268292,3.201219512195122,16.920731707317074,21.76829268292683,28.975609756097562,173.59756097560975,70.0609756097561,109.1280487804878,7.195121951219512,175.73170731707316
17,41,0.0,0.0,0.0,30.0,0.0,30.0,0.0,490.0,0.0,0.0,0.0,0.0,360.0,0.0,40.0,0.0,490.0
18,42,0.0,0.0,0.0,85.94594594594595,0.0,9.72972972972973,0.0,567.8378378378378,35.67567567567568,0.0,0.0,0.0,506.0810810810811,0.0,98.51351351351352,0.0,136.21621621621622
19,45,0.0,0.0,0.0,180.0,0.0,0.0,0.0,455.0,0.0,0.0,60.0,0.0,30.0,0.0,165.0,0.0,505.0
20,48,0.0,0.0,0.0,97.0,0.0,110.0,0.0,520.0,0.0,0.0,20.0,0.0,125.0,0.0,142.0,0.0,426.0
21,51,0.0,0.0,0.0,120.0,0.0,240.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,480.0
22,53,140.0,30.0,0.0,150.0,0.0,0.0,0.0,785.0,0.0,0.0,0.0,0.0,185.0,0.0,145.0,0.0,0.0
23,55,59.0625,0.0,0.0,46.875,0.0,145.25,0.0,665.3125,0.0,0.0,33.75,0.0,234.0625,0.0,50.9375,0.0,204.75
