,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,47.56521739130435,0.0,142.5,59.34782608695652,0.0,52.82608695652174,0.0,431.3478260869565,0.0,0.0,0.0,0.0,16.195652173913043,8.804347826086957,103.15217391304348,0.0,578.2608695652174
1,4,0.0,0.0,0.0,45.0,0.0,10.0,0.0,450.0,0.0,80.0,0.0,0.0,225.0,0.0,50.0,0.0,580.0
2,6,113.98373983739837,0.0,30.528455284552845,84.91869918699187,0.0,69.85365853658537,0.0,571.3658536585366,12.439024390243903,17.764227642276424,15.772357723577235,16.097560975609756,257.479674796748,0.0,119.47154471544715,0.0,115.1219512195122
3,13,292.4,0.0,0.0,82.63076923076923,0.0,62.53846153846154,0.0,450.7692307692308,0.0,0.0,83.6923076923077,0.0,0.0,31.384615384615383,131.92307692307693,0.0,263.73846153846154
4,15,12.10909090909091,0.0,0.0,91.0909090909091,0.0,72.0,0.0,475.27272727272725,0.0,0.0,15.272727272727273,0.0,181.63636363636363,30.545454545454547,86.87272727272727,0.0,475.2
5,24,0.0,0.0,0.0,150.0,0.0,173.0,0.0,585.0,0.0,0.0,105.0,0.0,277.0,0.0,60.0,0.0,90.0
6,32,32.5,0.0,0.0,79.5,0.0,158.5,0.0,527.75,0.0,0.0,21.0,0.0,106.25,0.0,71.25,0.0,443.25
7,34,0.0,42.58064516129032,0.0,98.70967741935483,0.0,176.1290322580645,0.0,492.258064516129,31.93548387096774,0.0,0.0,0.0,76.7741935483871,0.0,42.58064516129032,0.0,479.03225806451616
8,36,30.0,0.0,0.0,85.0,0.0,120.0,0.0,450.0,0.0,0.0,0.0,0.0,245.0,0.0,90.0,0.0,420.0
9,41,330.0,0.0,0.0,150.0,0.0,90.0,0.0,720.0,0.0,0.0,0.0,0.0,120.0,30.0,0.0,0.0,0.0
10,48,170.0,0.0,0.0,25.0,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,820.0
11,49,0.0,0.0,0.0,60.0,0.0,135.0,0.0,522.0,0.0,0.0,60.0,0.0,120.0,0.0,58.0,0.0,485.0
12,53,0.0,15.0,0.0,80.0,0.0,75.0,0.0,650.0,0.0,0.0,30.0,0.0,180.0,60.0,335.0,0.0,15.0
