,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,0.0,0.0,0.0,74.51612903225806,0.0,235.80645161290323,0.0,665.1612903225806,0.0,0.0,118.70967741935483,0.0,310.3225806451613,0.0,35.483870967741936,0.0,0.0
1,4,42.209722222222226,16.420833333333334,14.508333333333333,74.35416666666667,0.0,139.91805555555555,1.1458333333333333,571.9916666666667,4.2,2.375,29.55,8.708333333333334,230.61666666666667,25.006944444444443,81.24722222222222,13.219444444444445,181.99444444444444
2,5,60.75,0.0,0.0,56.625,0.0,59.875,0.0,660.125,0.0,0.0,0.0,0.0,117.875,0.0,16.75,0.0,468.0
3,6,33.66574540725085,6.83352300438953,12.163062916598927,65.50934807348399,1.8985530807998698,107.30092667858885,0.7576003901804584,562.5696634693546,2.2978377499593563,3.345797431311982,37.98601853357178,11.198341733051537,234.50609656966347,24.104373272638597,91.47390668184035,8.028288083238499,228.03641684278978
4,8,18.61377245508982,2.874251497005988,4.131736526946108,67.90419161676647,0.0,104.3443113772455,0.688622754491018,560.5838323353294,6.347305389221557,18.667664670658684,46.544910179640716,12.637724550898204,201.2814371257485,12.305389221556887,78.03892215568862,4.850299401197605,292.5508982035928
5,9,48.83966244725738,0.4219409282700422,10.126582278481013,53.39662447257384,0.0,133.62025316455697,1.2658227848101267,545.7130801687764,9.789029535864978,10.126582278481013,22.172995780590718,12.48945147679325,223.30801687763713,13.586497890295359,65.0168776371308,0.0,283.0379746835443
6,11,0.0,0.0,0.0,135.0,0.0,0.0,0.0,630.0,60.0,0.0,0.0,0.0,240.0,30.0,0.0,0.0,345.0
7,12,22.73745173745174,2.9118404118404118,19.50900900900901,72.34813384813384,0.0,102.97361647361647,0.46332046332046334,572.8957528957529,5.337837837837838,8.465250965250965,28.635778635778635,5.878378378378378,215.9266409266409,18.384813384813384,89.7014157014157,4.324324324324325,258.8738738738739
8,13,27.095238095238095,8.785714285714286,32.857142857142854,74.28571428571429,0.0,124.6952380952381,16.285714285714285,555.3333333333334,11.785714285714286,6.0,19.023809523809526,8.928571428571429,224.5952380952381,0.0,54.19047619047619,0.0,270.85238095238094
9,16,0.0,2.0,168.0,101.66666666666667,0.0,149.5,0.0,432.25,0.0,0.0,51.75,0.0,266.53333333333336,61.0,61.7,0.0,145.6
10,17,21.720837487537388,7.611166500498505,62.70887337986042,69.42671984047857,0.0,84.57128614157527,1.4955134596211366,572.3379860418744,3.0917248255234298,2.597208374875374,44.51645064805583,11.166500498504487,244.71186440677965,7.866400797607178,98.34596211365903,8.544366899302094,193.66600199401793
11,18,24.644549763033176,21.232227488151658,25.308056872037916,53.791469194312796,0.0,134.27962085308056,0.0,601.9857819905213,13.080568720379146,0.0,47.322274881516584,1.4218009478672986,229.35071090047393,28.578199052132703,100.9004739336493,0.0,147.10900473933648
12,19,78.62352941176471,0.0,0.0,112.05882352941177,0.0,198.71764705882353,0.0,591.2352941176471,0.0,6.0,29.058823529411764,0.0,247.1764705882353,0.0,59.129411764705885,0.0,114.0
13,20,101.02941176470588,0.0,0.0,63.088235294117645,0.0,122.69607843137256,0.0,618.9705882352941,5.0,4.411764705882353,20.294117647058822,24.215686274509803,265.8333333333333,21.176470588235293,193.2843137254902,0.0,0.0
14,21,0.0,18.08219178082192,0.0,76.43835616438356,95.54794520547945,95.89041095890411,0.0,515.6849315068494,22.328767123287673,0.0,11.164383561643836,0.0,390.6849315068493,18.08219178082192,63.21917808219178,0.0,132.87671232876713
15,24,35.82857142857143,0.0,6.171428571428572,96.63428571428571,0.0,105.11428571428571,0.0,593.1742857142857,13.554285714285715,15.285714285714286,31.771428571428572,13.714285714285714,157.20285714285714,12.771428571428572,79.44571428571429,12.9,265.57428571428574
16,25,100.2707182320442,2.9171270718232045,0.0,50.69060773480663,0.0,108.4171270718232,0.0,582.2348066298342,18.024861878453038,10.088397790055248,18.243093922651934,4.930939226519337,168.26795580110496,20.759668508287294,89.48618784530387,3.314917127071823,246.64364640883977
17,26,27.396929824561404,14.350877192982455,0.0,68.58991228070175,0.0,80.02412280701755,0.0,520.1228070175439,17.99561403508772,4.144736842105263,18.24122807017544,7.719298245614035,265.2938596491228,13.739035087719298,82.41885964912281,0.0,308.7127192982456
18,27,44.765625,0.0,4.5703125,120.078125,0.0,91.1875,0.0,482.3828125,22.8515625,0.0,10.8203125,35.1171875,133.203125,15.46875,88.2890625,79.6875,311.578125
19,28,0.0,0.0,0.0,54.0,0.0,205.71428571428572,0.0,529.7142857142857,15.2,0.0,5.428571428571429,0.0,386.9142857142857,86.85714285714286,60.17142857142857,0.0,96.0
20,29,0.0,18.26086956521739,0.0,118.26086956521739,0.0,157.82608695652175,0.0,444.7826086956522,0.0,0.0,138.2608695652174,0.0,458.2173913043478,0.0,104.3913043478261,0.0,0.0
21,31,27.11864406779661,0.0,0.0,54.74576271186441,0.0,0.0,0.0,590.8474576271186,0.0,0.0,8.64406779661017,5.762711864406779,201.1864406779661,0.0,119.52542372881356,0.0,292.33898305084745
22,32,63.46534653465346,50.99009900990099,42.12871287128713,73.22277227722772,8.910891089108912,70.04950495049505,0.0,506.5495049504951,0.0,4.158415841584159,25.376237623762375,5.643564356435643,231.4851485148515,11.881188118811881,97.2871287128713,0.0,239.68316831683168
23,33,30.02777777777778,0.0,124.58333333333333,42.77777777777778,0.0,64.83333333333333,0.0,620.3888888888889,6.111111111111111,0.0,0.0,43.75,112.55555555555556,0.0,50.708333333333336,0.0,270.34722222222223
24,34,47.38140747176369,6.3449174630755865,8.496959165942659,61.93136403127715,0.0,80.79322328410078,0.0,541.5534317984361,6.624674196350999,5.091225021720243,43.91398783666377,6.851433536055604,189.21372719374457,8.151172893136403,93.86707211120765,3.649000868809731,322.21459600347526
25,35,6.467567567567568,12.31081081081081,26.675675675675677,69.17567567567568,0.0,98.04594594594595,7.216216216216216,616.7594594594594,0.972972972972973,0.0,49.67567567567568,14.405405405405405,266.25405405405405,28.356756756756756,94.56216216216217,11.027027027027026,135.37027027027028
26,36,53.0935960591133,7.646727656579873,10.172413793103448,73.19985925404644,0.0,103.29064039408867,0.38353272343420125,553.4869809992963,3.9894440534834623,4.415904292751583,39.14567206192822,11.045038705137227,197.9429978888107,22.463054187192117,99.6347642505278,4.208304011259676,247.37790288529206
27,37,59.898809523809526,0.0,0.0,78.80952380952381,15.68452380952381,148.86904761904762,0.0,571.2142857142857,2.5,0.0,14.404761904761905,3.8095238095238093,185.02380952380952,10.0,65.41071428571429,17.142857142857142,253.30357142857142
28,38,55.0,0.0,0.0,30.0,0.0,545.0,0.0,490.0,0.0,0.0,0.0,0.0,90.0,90.0,50.0,90.0,0.0
29,39,33.21103896103896,1.353896103896104,4.285714285714286,84.24675324675324,0.0,112.56493506493507,0.0,537.9123376623377,2.4025974025974026,5.2272727272727275,15.337662337662337,0.0,225.6818181818182,11.2012987012987,75.17207792207792,19.100649350649352,311.8474025974026
30,40,44.40229885057471,0.0,11.03448275862069,37.172413793103445,0.0,68.04597701149426,0.0,683.5172413793103,8.505747126436782,14.885057471264368,13.67816091954023,0.0,275.08045977011494,0.0,70.80459770114942,0.0,161.83908045977012
31,41,37.42622950819672,0.0,0.0,70.87704918032787,0.0,74.10382513661202,0.8743169398907104,585.1639344262295,1.366120218579235,0.1912568306010929,23.661202185792348,12.59016393442623,157.4863387978142,16.721311475409838,94.0327868852459,0.0,362.5
32,42,14.789325842696629,5.884831460674158,0.0,64.87359550561797,0.0,127.74719101123596,0.0,608.6516853932584,11.544943820224718,16.573033707865168,44.62921348314607,16.446629213483146,246.27247191011236,45.04213483146067,71.46067415730337,0.0,163.13483146067415
33,44,2.388059701492537,0.0,0.0,60.52238805970149,0.0,49.92537313432836,3.4328358208955225,519.0149253731344,15.223880597014926,0.0,58.656716417910445,0.0,343.05970149253733,0.0,34.507462686567166,0.0,353.2686567164179
34,45,0.0,0.0,165.0,52.5,0.0,80.0,0.0,520.0,0.0,0.0,22.5,0.0,195.0,0.0,42.5,0.0,292.5
35,47,0.2073170731707317,0.0,118.17073170731707,80.42682926829268,0.0,130.1219512195122,0.0,586.3170731707318,0.0,5.365853658536586,26.341463414634145,9.512195121951219,189.9390243902439,5.853658536585366,67.3780487804878,0.0,208.65853658536585
36,48,36.33810975609756,9.985670731707318,13.175304878048781,63.24817073170732,1.646341463414634,95.72286585365853,0.27439024390243905,544.6039634146341,5.7231707317073175,5.0024390243902435,29.73841463414634,16.391768292682926,205.0204268292683,26.5734756097561,91.98323170731707,7.038109756097561,271.04664634146343
37,49,18.74,20.1,0.0,66.716,0.0,107.2,0.0,523.692,0.0,0.0,24.66,8.0,193.604,16.32,131.288,5.04,319.84
38,50,25.0,0.0,0.0,115.0,0.0,205.0,0.0,527.0,0.0,0.0,5.0,0.0,243.0,0.0,125.0,0.0,195.0
39,51,35.53216374269006,0.49707602339181284,22.280701754385966,93.24561403508773,0.0,110.76900584795321,0.0,593.3040935672515,4.444444444444445,0.0,14.517543859649123,15.090643274853802,249.2046783625731,11.359649122807017,56.88304093567251,6.578947368421052,225.53216374269005
40,53,34.775725593667545,6.649076517150395,0.0,72.89973614775725,0.0,129.8258575197889,4.538258575197889,541.5672823218997,19.182058047493403,1.7968337730870712,34.142480211081796,0.0,287.4802110817942,34.02374670184697,76.55408970976254,0.0,195.21899736147756
41,55,40.4054054054054,0.0,0.0,44.020270270270274,0.0,58.682432432432435,0.0,583.5135135135135,2.77027027027027,0.0,34.12162162162162,0.0,229.13513513513513,25.27027027027027,64.37837837837837,0.0,346.2162162162162
42,56,0.0,1.0,0.0,25.0,0.0,0.0,0.0,492.0,0.0,0.0,39.0,0.0,278.0,0.0,78.0,0.0,527.0
