,STATEFIP,Caring For Household Members,Caring for NonHousehold Members,Pursuing Education,Eating & Drinking,Civic Obligations,Household Activities,Coordinating Household Labor,Personal Care,Talking on the Phone,Soliciting and Using Professional Services,Buying Items,Religious Activity,Socializing,Playing Sports,Traveling for Any Reason,Volunteering,Working
0,1,0.0,0.0,0.0,75.0,0.0,30.0,0.0,360.0,0.0,0.0,30.0,0.0,340.0,0.0,30.0,0.0,575.0
1,2,0.0,0.0,0.0,71.35135135135135,0.0,69.08108108108108,0.0,596.6756756756756,0.0,0.0,63.24324324324324,0.0,113.51351351351352,0.0,56.75675675675676,0.0,469.3783783783784
2,4,0.0,0.0,0.0,60.0,0.0,145.0,0.0,820.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,45.0,0.0,0.0,0.0,675.0,0.0,0.0,15.0,0.0,195.0,0.0,110.0,0.0,400.0
4,6,13.774487471526196,6.045558086560365,49.65603644646925,81.2984054669704,0.0,124.37585421412301,0.0,556.118451025057,0.5239179954441914,0.0,31.389521640091115,8.747152619589977,210.76309794988612,18.462414578587698,88.16400911161732,6.42369020501139,232.75398633257404
5,8,0.0,0.0,0.0,75.0,0.0,90.0,0.0,660.0,0.0,0.0,70.0,0.0,150.0,90.0,65.0,0.0,240.0
6,9,0.0,0.0,0.0,90.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,450.0,0.0,60.0,270.0,0.0
7,10,0.0,0.0,15.0,30.0,0.0,10.0,0.0,915.0,0.0,0.0,3.0,0.0,457.0,0.0,10.0,0.0,0.0
8,12,0.0,21.61764705882353,0.0,35.73529411764706,0.0,9.264705882352942,0.0,645.4411764705883,0.0,0.0,0.0,0.0,200.14705882352942,0.0,57.794117647058826,0.0,470.0
9,13,14.042553191489361,0.0,0.0,52.340425531914896,0.0,94.46808510638297,0.0,431.17021276595744,0.0,0.0,12.76595744680851,0.0,327.3404255319149,0.0,133.40425531914894,0.0,374.468085106383
10,15,87.78846153846153,0.0,17.307692307692307,98.17307692307692,0.0,106.15384615384616,0.0,579.3269230769231,4.326923076923077,0.0,90.01923076923077,0.0,191.69230769230768,0.0,135.5,0.0,111.25
11,17,36.06060606060606,2.4242424242424243,0.0,35.15151515151515,0.0,34.24242424242424,0.0,587.1212121212121,0.0,0.0,0.0,0.0,77.57575757575758,0.0,73.63636363636364,0.0,593.7878787878788
12,19,0.0,56.0,120.0,30.0,0.0,0.0,0.0,913.0,0.0,0.0,5.0,0.0,60.0,0.0,51.0,0.0,205.0
13,20,360.0,0.0,0.0,30.0,0.0,30.0,0.0,570.0,30.0,0.0,45.0,0.0,300.0,0.0,75.0,0.0,0.0
14,21,25.0,0.0,0.0,120.0,0.0,90.0,0.0,650.0,0.0,0.0,0.0,0.0,105.0,0.0,450.0,0.0,0.0
15,23,85.0,6.0,0.0,45.0,0.0,65.0,0.0,544.0,0.0,0.0,90.0,0.0,40.0,0.0,80.0,0.0,485.0
16,24,400.0,0.0,0.0,68.82352941176471,0.0,121.76470588235294,0.0,439.4117647058824,0.0,0.0,70.58823529411765,63.529411764705884,102.3529411764706,42.35294117647059,117.05882352941177,14.117647058823529,0.0
17,26,0.0,0.0,0.0,61.507936507936506,0.0,58.44444444444444,0.0,524.047619047619,0.0,1.3492063492063493,18.88888888888889,0.0,340.5238095238095,0.0,48.333333333333336,58.333333333333336,328.57142857142856
18,27,155.79207920792078,4.900990099009901,3.5643564356435644,67.72277227722772,0.0,111.73267326732673,22.128712871287128,497.6732673267327,14.702970297029703,0.0,34.75247524752475,63.71287128712871,175.59405940594058,0.0,87.37623762376238,0.0,200.34653465346534
19,29,0.0,0.0,0.0,40.0,0.0,30.0,0.0,480.0,0.0,0.0,0.0,0.0,215.0,0.0,65.0,0.0,610.0
20,31,0.0,0.0,0.0,45.88235294117647,0.0,46.411764705882355,0.0,506.47058823529414,0.0,0.0,23.823529411764707,0.0,362.29411764705884,0.0,61.88235294117647,0.0,393.2352941176471
21,33,0.0,0.0,0.0,15.0,0.0,106.0,0.0,490.0,0.0,0.0,15.0,0.0,282.0,0.0,57.0,0.0,475.0
22,34,0.0,0.0,43.63636363636363,113.4090909090909,0.0,62.38636363636363,0.0,607.8409090909091,22.5,0.0,0.0,0.0,199.4318181818182,0.0,47.15909090909091,0.0,343.6363636363636
23,36,67.00975609756098,10.4,0.0,70.59024390243903,0.0,153.59024390243903,0.0,513.590243902439,2.0,4.512195121951219,20.678048780487806,23.4,208.25853658536585,13.951219512195122,77.01463414634146,0.0,257.5121951219512
24,39,0.0,0.0,0.0,30.0,0.0,55.0,0.0,430.0,0.0,5.0,205.0,0.0,600.0,0.0,115.0,0.0,0.0
